 Container oceanblue-s06-proof3-db-test-1 Running 
 Volume oceanblue-s06-proof3_proof-tls Creating 
 Volume oceanblue-s06-proof3_smoke-files Creating 
 Volume oceanblue-s06-proof3_smoke-files Creating 
 Volume oceanblue-s06-proof3_proof-tls Creating 
 Volume oceanblue-s06-proof3_smoke-files Created 
 Volume oceanblue-s06-proof3_smoke-files Created 
 Container oceanblue-s06-proof3-smoke-1 Creating 
 Volume oceanblue-s06-proof3_proof-tls Created 
 Volume oceanblue-s06-proof3_proof-tls Created 
 Container oceanblue-s06-proof3-proxy-1 Creating 
 Container oceanblue-s06-proof3-smoke-1 Created 
 Container oceanblue-s06-proof3-proxy-1 Created 
