 Container oceanblue-s06-ops-accept-db-test-1 Running 
 Volume oceanblue-s06-ops-accept_proof-tls Creating 
 Volume oceanblue-s06-ops-accept_proof-tls Creating 
 Volume oceanblue-s06-ops-accept_smoke-files Creating 
 Volume oceanblue-s06-ops-accept_smoke-files Creating 
 Volume oceanblue-s06-ops-accept_smoke-files Created 
 Volume oceanblue-s06-ops-accept_smoke-files Created 
 Container oceanblue-s06-ops-accept-smoke-1 Creating 
 Volume oceanblue-s06-ops-accept_proof-tls Created 
 Volume oceanblue-s06-ops-accept_proof-tls Created 
 Container oceanblue-s06-ops-accept-smoke-1 Created 
 Container oceanblue-s06-ops-accept-proxy-1 Creating 
 Container oceanblue-s06-ops-accept-proxy-1 Created 
