 Container oceanblue-s06-ops-clean-db-test-1 Running 
 Volume oceanblue-s06-ops-clean_proof-tls Creating 
 Volume oceanblue-s06-ops-clean_smoke-files Creating 
 Volume oceanblue-s06-ops-clean_smoke-files Creating 
 Volume oceanblue-s06-ops-clean_proof-tls Creating 
 Volume oceanblue-s06-ops-clean_smoke-files Created 
 Volume oceanblue-s06-ops-clean_smoke-files Created 
 Container oceanblue-s06-ops-clean-smoke-1 Creating 
 Volume oceanblue-s06-ops-clean_proof-tls Created 
 Volume oceanblue-s06-ops-clean_proof-tls Created 
 Container oceanblue-s06-ops-clean-smoke-1 Created 
 Container oceanblue-s06-ops-clean-proxy-1 Creating 
 Container oceanblue-s06-ops-clean-proxy-1 Created 
