 Container oceanblue-s06-ops-release-db-test-1 Running 
 Volume oceanblue-s06-ops-release_proof-tls Creating 
 Volume oceanblue-s06-ops-release_proof-tls Creating 
 Volume oceanblue-s06-ops-release_smoke-files Creating 
 Volume oceanblue-s06-ops-release_smoke-files Creating 
 Volume oceanblue-s06-ops-release_smoke-files Created 
 Volume oceanblue-s06-ops-release_smoke-files Created 
 Container oceanblue-s06-ops-release-smoke-1 Creating 
 Volume oceanblue-s06-ops-release_proof-tls Created 
 Volume oceanblue-s06-ops-release_proof-tls Created 
 Container oceanblue-s06-ops-release-smoke-1 Created 
 Container oceanblue-s06-ops-release-proxy-1 Creating 
 Container oceanblue-s06-ops-release-proxy-1 Created 
