 Container oceanblue-s07-rc6-ops-db-test-1 Running 
 Volume oceanblue-s07-rc6-ops_proof-tls Creating 
 Volume oceanblue-s07-rc6-ops_smoke-files Creating 
 Volume oceanblue-s07-rc6-ops_smoke-files Creating 
 Volume oceanblue-s07-rc6-ops_proof-tls Creating 
 Volume oceanblue-s07-rc6-ops_smoke-files Created 
 Volume oceanblue-s07-rc6-ops_smoke-files Created 
 Container oceanblue-s07-rc6-ops-smoke-1 Creating 
 Volume oceanblue-s07-rc6-ops_proof-tls Created 
 Volume oceanblue-s07-rc6-ops_proof-tls Created 
 Container oceanblue-s07-rc6-ops-smoke-1 Created 
 Container oceanblue-s07-rc6-ops-proxy-1 Creating 
 Container oceanblue-s07-rc6-ops-proxy-1 Created 
