requirement,methods,route,implementation_endpoint,implementation_services,executed_service_tests,observed_http_tests_and_status,evidence,limit
UI-01 Navegacao operacional,GET,/,main.index,template/decorator/helper/consulta direta,,,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,POST,/api/adiantamentos/,adiantamento.criar,AcessoEmpresaService.obter_escopo|AdiantamentoService.criar|AdiantamentoService.serializar,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,GET,/api/adiantamentos/,adiantamento.listar,AcessoEmpresaService.obter_escopo|AdiantamentoService.listar,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-REL-05 Ciclos financeiros e privacidade,POST,/api/adiantamentos/<int:adiantamento_id>/transicao,ciclos.transicionar,AdiantamentoCicloService.transicionar,,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401|tests/test_sprint05_cycles.py::test_new_mutations_require_csrf[/api/adiantamentos/1/transicao]:POST:401|tests/test_sprint05_cycles.py::test_new_permissions_revalidated_in_existing_session[autorizar_adiantamento-/api/adiantamentos/1/transicao-post]:POST:403,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,GET,/api/adiantamentos/auxiliares,adiantamento.auxiliares,AcessoEmpresaService.obter_escopo|AdiantamentoService.listar_auxiliares,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,GET,/api/adiantamentos/resumo,adiantamento.resumo,AcessoEmpresaService.obter_escopo|AdiantamentoService.obter_resumo_folha,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests.test_sprint05_cycles::test_advance_full_cycle_preserves_ledger_and_stock[False]|tests.test_sprint05_cycles::test_advance_full_cycle_preserves_ledger_and_stock[True],tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-REL-05 Ciclos financeiros e privacidade,POST,/api/adiantamentos/solicitar,ciclos.solicitar,AdiantamentoCicloService.solicitar,tests.test_sprint05_adversarial::test_advance_approval_rechecks_employee_company_link|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[autorizar-AdiantamentoFuncionario-after_update]|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[autorizar-AuditLog-after_insert]|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[autorizar-LancamentoFinanceiro-after_insert]|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[autorizar-MovimentoEstoque-after_insert]|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[autorizar-OperacaoIdempotente-after_insert]|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[estornar-AdiantamentoFuncionario-after_update]|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[estornar-AuditLog-after_insert]|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[estornar-LancamentoFinanceiro-after_insert]|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[estornar-MovimentoEstoque-after_insert]|tests.test_sprint05_adversarial::test_advance_failure_at_every_persisted_boundary[estornar-OperacaoIdempotente-after_insert]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[AUTORIZADO-autorizar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[AUTORIZADO-cancelar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[AUTORIZADO-reverter_baixa]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[BAIXADO-autorizar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[BAIXADO-baixar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[BAIXADO-cancelar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[BAIXADO-estornar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[CANCELADO-autorizar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[CANCELADO-baixar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[CANCELADO-cancelar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[CANCELADO-estornar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[CANCELADO-reverter_baixa]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[ESTORNADO-autorizar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[ESTORNADO-baixar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[ESTORNADO-cancelar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[ESTORNADO-estornar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[ESTORNADO-reverter_baixa]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[PENDENTE-baixar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[PENDENTE-estornar]|tests.test_sprint05_adversarial::test_all_invalid_advance_transitions[PENDENTE-reverter_baixa]|tests.test_sprint05_cycles::test_advance_cancel_and_concurrent_approval|tests.test_sprint05_cycles::test_advance_failure_after_ledger_insert_rolls_back|tests.test_sprint05_cycles::test_advance_full_cycle_preserves_ledger_and_stock[False]|tests.test_sprint05_cycles::test_advance_full_cycle_preserves_ledger_and_stock[True]|tests.test_sprint05_cycles::test_advance_refuses_invalid_money_without_effects[-0.01]|tests.test_sprint05_cycles::test_advance_refuses_invalid_money_without_effects[-Infinity]|tests.test_sprint05_cycles::test_advance_refuses_invalid_money_without_effects[0.001]|tests.test_sprint05_cycles::test_advance_refuses_invalid_money_without_effects[10000000000]|tests.test_sprint05_cycles::test_advance_refuses_invalid_money_without_effects[Infinity]|tests.test_sprint05_cycles::test_advance_refuses_invalid_money_without_effects[NaN],tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401|tests/test_sprint05_adversarial.py::test_advance_api_rejects_extremes_without_effects[empresa_id-1.5]:POST:400|tests/test_sprint05_adversarial.py::test_advance_api_rejects_extremes_without_effects[empresa_id-True]:POST:400|tests/test_sprint05_adversarial.py::test_advance_api_rejects_extremes_without_effects[funcionario_id-1.0]:POST:400|tests/test_sprint05_adversarial.py::test_advance_api_rejects_extremes_without_effects[funcionario_id-False]:POST:400|tests/test_sprint05_adversarial.py::test_advance_api_rejects_extremes_without_effects[valor_total--Infinity]:POST:400|tests/test_sprint05_adversarial.py::test_advance_api_rejects_extremes_without_effects[valor_total-1e10000]:POST:400|tests/test_sprint05_adversarial.py::test_advance_api_rejects_extremes_without_effects[valor_total-9999999999.999]:POST:400|tests/test_sprint05_adversarial.py::test_advance_api_rejects_extremes_without_effects[valor_total-Infinity]:POST:400|tests/test_sprint05_adversarial.py::test_advance_api_rejects_extremes_without_effects[valor_total-NaN]:POST:400|tests/test_sprint05_cycles.py::test_new_mutations_require_csrf[/api/adiantamentos/solicitar]:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,GET,/api/adiantamentos/view,adiantamento.pagina,template/decorator/helper/consulta direta,,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:302|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
OPS-06 Auditoria com escopo e paginacao,GET,/api/auditoria/,auditoria.listar,AcessoEmpresaService.filtrar_empresa_ids|AcessoEmpresaService.obter_escopo|AcessoEmpresaService.validar_empresa,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401|tests/test_sprint06_data_adversarial.py::test_audit_cookie_claim_tampering:GET:422|tests/test_sprint06_data_adversarial.py::test_audit_first_page_includes_maximum_integer_id:GET:200|tests/test_sprint06_data_adversarial.py::test_audit_http_tampering_is_read_only[DELETE]:GET:200|tests/test_sprint06_data_adversarial.py::test_audit_http_tampering_is_read_only[PATCH]:GET:200|tests/test_sprint06_data_adversarial.py::test_audit_http_tampering_is_read_only[POST]:GET:200|tests/test_sprint06_data_adversarial.py::test_audit_http_tampering_is_read_only[PUT]:GET:200|tests/test_sprint06_data_adversarial.py::test_audit_inactive_company_denied:GET:200|tests/test_sprint06_data_adversarial.py::test_audit_inactive_company_denied:GET:403|tests/test_sprint06_data_adversarial.py::test_audit_live_company_revocation_and_empty_scope:GET:200|tests/test_sprint06_data_adversarial.py::test_audit_live_company_revocation_and_empty_scope:GET:403|tests/test_sprint06_data_adversarial.py::test_audit_pagination_survives_insert_and_reaches_end:GET:200|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[before=0]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[before=1%20OR%201=1]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[before=20&before=1]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[before=2147483648]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[before=]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[empresa_id=%00]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[empresa_id=-1]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[empresa_id=0]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[empresa_id=1&empresa_id=3]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[empresa_id=2147483648]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[empresa_id=99999999999999999999999999999999999999999999999999]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[empresa_id=]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit-5000-digits]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=%201]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=%2B1]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=%EF%BC%91]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=-1]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=0]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=1&limit=100]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=1.0]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=101]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=1_0]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=1e2]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_rejects_ambiguous_or_out_of_range_parameters[limit=]:GET:400|tests/test_sprint06_data_adversarial.py::test_audit_requires_permission_and_tenant_scope[/api/auditoria/]:GET:401|tests/test_sprint06_data_adversarial.py::test_audit_requires_permission_and_tenant_scope[/api/auditoria/]:GET:403|tests/test_sprint06_data_adversarial.py::test_audit_tenant_cursor_and_header_tampering:GET:200|tests/test_sprint06_data_adversarial.py::test_audit_tenant_cursor_and_header_tampering:GET:403|tests/test_sprint06_load_adversarial.py::test_concurrent_audit_reads_bounded_and_tenant_safe:GET:200|tests/test_sprint06_operations.py::test_audit_benchmark_bounded_queries_and_index:GET:200|tests/test_sprint06_operations.py::test_audit_permission_scope_pagination_and_private_projection:GET:200|tests/test_sprint06_operations.py::test_audit_permission_scope_pagination_and_private_projection:GET:400|tests/test_sprint06_operations.py::test_audit_permission_scope_pagination_and_private_projection:GET:403|tests/test_sprint06_operations.py::test_company_restricted_audit_excludes_global_and_other_company:GET:200,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
OPS-06 Auditoria com escopo e paginacao,GET,/api/auditoria/view,auditoria.pagina,template/decorator/helper/consulta direta,,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401|tests/test_sprint06_data_adversarial.py::test_audit_requires_permission_and_tenant_scope[/api/auditoria/view]:GET:401|tests/test_sprint06_data_adversarial.py::test_audit_requires_permission_and_tenant_scope[/api/auditoria/view]:GET:403,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
