 Container oceanblue-s07-independent-rc2-ops-db-test-1 Running 
 Volume oceanblue-s07-independent-rc2-ops_proof-tls Creating 
 Volume oceanblue-s07-independent-rc2-ops_proof-tls Creating 
 Volume oceanblue-s07-independent-rc2-ops_smoke-files Creating 
 Volume oceanblue-s07-independent-rc2-ops_smoke-files Creating 
 Volume oceanblue-s07-independent-rc2-ops_proof-tls Created 
 Volume oceanblue-s07-independent-rc2-ops_proof-tls Created 
 Volume oceanblue-s07-independent-rc2-ops_smoke-files Created 
 Volume oceanblue-s07-independent-rc2-ops_smoke-files Created 
 Container oceanblue-s07-independent-rc2-ops-smoke-1 Creating 
 Container oceanblue-s07-independent-rc2-ops-smoke-1 Created 
 Container oceanblue-s07-independent-rc2-ops-proxy-1 Creating 
 Container oceanblue-s07-independent-rc2-ops-proxy-1 Created 
