smoke-1  | INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
smoke-1  | INFO  [alembic.runtime.migration] Will assume transactional DDL.
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade  -> 1150177c20ca, initial
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 1150177c20ca -> 7f3c1a2b9d4e, add roles and permissions
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 7f3c1a2b9d4e -> 9d1dca4d2bc5, v2
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 9d1dca4d2bc5 -> c3a1f9d4e8b2, convert quantities to integer
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade c3a1f9d4e8b2 -> 4b2d8b0f6c11, add platform owners
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 4b2d8b0f6c11 -> 8f6e4c2a1b9d, add pdv financeiro permissions and defaults
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 8f6e4c2a1b9d -> b7c9d1e2f3a4, add cupons adiantamentos validade salario
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade b7c9d1e2f3a4 -> d4e5f6a7b8c9, add empresa visual mode
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade d4e5f6a7b8c9 -> e6f7a8b9c0d1, add stock alert settings
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade e6f7a8b9c0d1 -> f2b4c6d8e9f1, add client wallet messaging and reversal controls
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 8f6e4c2a1b9d -> f9d0e1a2b3c4, add boleto financeiro models
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade f2b4c6d8e9f1 -> a1b2c3d4e5f6, add stock alert dispatch tracking
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade a1b2c3d4e5f6 -> b3c4d5e6f7a8, add cashback sale controls
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade f2b4c6d8e9f1 -> a4f1c8d2e7b9, add wholesale pricing and fiscal foundation
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade a4f1c8d2e7b9, b3c4d5e6f7a8 -> c9d8e7f6a5b4, merge cashback and fiscal heads
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade c9d8e7f6a5b4 -> 0f6a8c2d4e9b, add audit and saas limits
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 0f6a8c2d4e9b, f9d0e1a2b3c4 -> ea3d60221646, merge migration heads
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade ea3d60221646 -> 1a2b3c4d5e6f, add sprint3 boleto and fiscal external status
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 1a2b3c4d5e6f -> 2b3c4d5e6f7a, add sprint4 asaas and focus real configs
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 2b3c4d5e6f7a -> 3c4d5e6f7a8b, Align migrated types, tenant indexes and installment foreign key with models.
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 3c4d5e6f7a8b -> 4d5e6f7a8b9c, Shared authentication state, tenant integrity, SaaS quotas and access audit.
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 4d5e6f7a8b9c -> 5e6f7a8b9c0d
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 5e6f7a8b9c0d -> 6f7a8b9c0d1e
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 6f7a8b9c0d1e -> 7a8b9c0d1e2f
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 7a8b9c0d1e2f -> 8b9c0d1e2f3a
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 8b9c0d1e2f3a -> 9c0d1e2f3a4b
smoke-1  | INFO  [alembic.runtime.migration] Running upgrade 9c0d1e2f3a4b -> a0d1e2f3a4b5
smoke-1  | [2026-09-08 05:12:35 +0000] [1] [INFO] Starting gunicorn 23.0.0
smoke-1  | [2026-09-08 05:12:35 +0000] [1] [INFO] Listening at: http://0.0.0.0:5000 (1)
smoke-1  | [2026-09-08 05:12:35 +0000] [1] [INFO] Using worker: gthread
smoke-1  | [2026-09-08 05:12:35 +0000] [16] [INFO] Booting worker with pid: 16
smoke-1  | {"timestamp": "2026-09-08T05:12:38.774572+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "8538ef64b4b6c6c182f3878befa24fe4", "route": "/api/ready", "method": "GET", "status": 200, "duration_ms": 18.581}
smoke-1  | {"timestamp": "2026-09-08T05:12:43.960730+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "00aca9c424b0fdb8b7368eb395423945", "route": "/api/ready", "method": "GET", "status": 200, "duration_ms": 11.88}
smoke-1  | {"timestamp": "2026-09-08T05:12:44.175856+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "7b50130a360ee2b445d4ae6f51bab82c", "route": "/api/health", "method": "GET", "status": 200, "duration_ms": 0.138}
smoke-1  | {"timestamp": "2026-09-08T05:12:44.185089+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "7182849ee0120523452ba6ef74893a08", "route": "/api/ready", "method": "GET", "status": 200, "duration_ms": 7.533}
smoke-1  | {"timestamp": "2026-09-08T05:12:44.984621+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "39850896622f358c3bd12f7f9b4511f9", "route": "/api/health", "method": "GET", "status": 200, "duration_ms": 0.207}
smoke-1  | {"timestamp": "2026-09-08T05:12:44.994888+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "c514b5883c0e3109150bbbc5309eb6b8", "route": "/api/ready", "method": "GET", "status": 200, "duration_ms": 8.408}
smoke-1  | {"timestamp": "2026-09-08T05:12:44.996767+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "193451b9c7ae4c9b4ed96604c5a8b6b5", "route": "/login", "method": "GET", "status": 403, "duration_ms": 0.092}
smoke-1  | {"timestamp": "2026-09-08T05:12:44.998221+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "839ffd47b33c1df56b2878844c208ca5", "route": "/login", "method": "GET", "status": 403, "duration_ms": 0.077}
smoke-1  | {"timestamp": "2026-09-08T05:12:44.999421+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "2052b08a7ce1ec1c5e8170153577da06", "route": "/login", "method": "GET", "status": 403, "duration_ms": 0.07}
smoke-1  | {"timestamp": "2026-09-08T05:12:45.520558+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "782072e0ac2aeb8981e7aa86c9dcf31c", "route": "/health", "method": "GET", "status": 200, "duration_ms": 0.112}
smoke-1  | {"timestamp": "2026-09-08T05:12:45.525320+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "742f626434a0f1849f3501b0e4af6cd6", "route": "/readiness", "method": "GET", "status": 503, "duration_ms": 2.934}
smoke-1  | {"timestamp": "2026-09-08T05:12:46.670343+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "c78661379063f39f0380dedf8953a394", "route": "/readiness", "method": "GET", "status": 200, "duration_ms": 8.452}
smoke-1  | {"timestamp": "2026-09-08T05:12:48.208683+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "75113ef7a68436653d76bff9108dc27a", "route": "/api/health", "method": "GET", "status": 200, "duration_ms": 0.23}
smoke-1  | {"timestamp": "2026-09-08T05:12:48.218054+00:00", "level": "WARNING", "event": "application_diagnostic", "error_type": "OperationalError", "request_id": "4475e58e741a2a9f3915268c7a0cf9b3"}
smoke-1  | {"timestamp": "2026-09-08T05:12:48.220351+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "4475e58e741a2a9f3915268c7a0cf9b3", "route": "/api/ready", "method": "GET", "status": 503, "duration_ms": 8.611}
smoke-1  | {"timestamp": "2026-09-08T05:12:48.224958+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "5801d84d891c1a69a7ff37471c10e2da", "route": "/login", "method": "GET", "status": 403, "duration_ms": 0.197}
smoke-1  | {"timestamp": "2026-09-08T05:12:48.227977+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "d37a8475f5021ee8b03e6981b3be29dc", "route": "/login", "method": "GET", "status": 403, "duration_ms": 0.192}
smoke-1  | {"timestamp": "2026-09-08T05:12:48.230062+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "e0d1f5e659e73f0505ef558b407fa32d", "route": "/login", "method": "GET", "status": 403, "duration_ms": 0.092}
smoke-1  | {"timestamp": "2026-09-08T05:12:49.154798+00:00", "level": "WARNING", "event": "application_diagnostic", "error_type": "OperationalError", "request_id": "31a4ce7f0845fc63a212604818e1a9fa"}
smoke-1  | {"timestamp": "2026-09-08T05:12:49.155152+00:00", "level": "INFO", "event": "http_request", "error_type": null, "request_id": "31a4ce7f0845fc63a212604818e1a9fa", "route": "/api/ready", "method": "GET", "status": 503, "duration_ms": 2.645}
